slot, attendee, sponsor
10, Ódinsdóttir, Sponsor_1
10, Renus, SeMI Technologies
10, van Eerd, TerminusDB
10, Correlli, Accenture
10, Barbas, Cambridge Semantics
10, Marcelje, Ontotext
10, Bakes, Brighthive
10, Satoro, Datastax
10, Pétursdóttir, Datachemist
10, Tarbert, Sponsor_0
10, Neijt, ExperoInc
10, Stoppard, Lymba
11, Fleta, Datastax
11, Steukers, Katana Graph
11, Norrell, Sponsor_1
11, Pavel, Ontoforce
11, Bilker, Cambridge Semantics
11, IJpe, MonteCarlo
11, van Hoogdalem, Sponsor_0
11, Appelfeld, data.world
11, van der Pligt, ExperoInc
11, Lai, Oxford Semantic
11, Ódinsdóttir, OriginTrail
11, Renus, Brighthive
11, van Eerd, LARUS Business Automation
11, Barbas, SeMI Technologies
11, Marcelje, Amazon
11, Bakes, TerminusDB
11, Satoro, Accenture
11, Pétursdóttir, Sponsor_2
11, Zargar, RelationalAI
